p-value	q-value	pathway	source	members_input_overlap	members_input_overlap_geneids	size	effective_size
7.7949110197e-31	3.32063209439e-28	Transport of small molecules	Reactome	C00366; C00024; C00149; C00021; C00062; C00123; C00079; C00214; C00475; C00212; C00095; C02679; C00037; C00078; C00116; C00032; C00137; C00019; C00135; C00334; C00157; C00350; C00387; C00299; C01571; C06424; C00082; C00249; C00262; C01595; C01530; C00047; C00187; C00712	k:C00123; k:C00019; k:C06424; k:C00079; k:C02679; k:C00249; k:C00037; k:C00149; k:C01530; k:C00062; k:C00021; k:C00214; k:C01595; k:C00299; k:C00116; k:C00137; k:C00095; k:C00475; k:C00334; k:C00387; k:C00187; k:C00350; k:C00082; k:C00032; k:C00212; k:C00262; k:C00047; k:C00366; k:C00078; k:C00024; k:C00135; k:C00157; k:C00712; k:C01571	88	78
1.65489340315e-27	3.52492294871e-25	Metabolism	Reactome	C00149; C00121; C00148; C00123; C00021; C00022; C00006; C00062; C00003; C00122; C02571; C00079; C00036; C00550; C00385; C00064; C00032; C11378; C00780; C00535; C00072; C00315; C00219; C00047; C00092; C00475; C00212; C00473; C00097; C00159; C00037; C00078; C00116; C00111; C00033; C00016; C00137; C00019; C00354; C00134; C00077; C00157; C00299; C00951; C00794; C00158; C00350; C12126; C00750; C00024; C00249; C00262; C00387; C00407; C06429; C00095; C01530; C00042; C00041; C00487; C00486; C00189; C00186; C00187; C00183	k:C02571; k:C00123; k:C00019; k:C00315; k:C00249; k:C00134; k:C00159; k:C00262; k:C00780; k:C00186; k:C06429; k:C00021; k:C00299; k:C12126; k:C00095; k:C00077; k:C00486; k:C00387; k:C00121; k:C00350; k:C00212; k:C00473; k:C00078; k:C00219; k:C00036; k:C00092; k:C00550; k:C00116; k:C00475; k:C00183; k:C00535; k:C11378; k:C00794; k:C00148; k:C00354; k:C00407; k:C00033; k:C00022; k:C00487; k:C00042; k:C00016; k:C00122; k:C00111; k:C00137; k:C00187; k:C00006; k:C00064; k:C00047; k:C00072; k:C00951; k:C00079; k:C00003; k:C00037; k:C00189; k:C00149; k:C01530; k:C00062; k:C00158; k:C00041; k:C00385; k:C00750; k:C00032; k:C00024; k:C00157; k:C00097	625	477
1.54160088333e-26	2.18907325433e-24	SLC-mediated transmembrane transport	Reactome	C00366; C00024; C00149; C00021; C00062; C00123; C00214; C00475; C00212; C00095; C02679; C00037; C00078; C00079; C00137; C00019; C00135; C00334; C00299; C00387; C00082; C06424; C01571; C00249; C00262; C01595; C01530; C00047; C00712	k:C00212; k:C00262; k:C00137; k:C00095; k:C00037; k:C00047; k:C00135; k:C00149; k:C00123; k:C00019; k:C00062; k:C00334; k:C06424; k:C00021; k:C00214; k:C01530; k:C01595; k:C00078; k:C00387; k:C00024; k:C00366; k:C00079; k:C00475; k:C01571; k:C00712; k:C02679; k:C00249; k:C00299; k:C00082	70	65
1.42565296285e-24	1.51832040544e-22	ABC transporters - Saccharomyces cerevisiae (budding yeast)	KEGG	C00121; C00148; C00123; C00062; C00065; C00064; C00116; C01083; C00315; C00047; C00475; C00212; C00095; C00159; C00037; C00079; C00032; C00188; C00031; C00137; C00135; C00134; C00077; C00299; C00794; C00243; C00245; C01157; C00387; C00407; C00089; C00041; C00487; C00208; C00719; C00183; C00181	k:C00159; k:C00243; k:C00245; k:C00407; k:C00121; k:C00064; k:C00065; k:C00794; k:C00148; k:C00315; k:C00719; k:C00095; k:C00487; k:C00077; k:C01083; k:C00387; k:C00079; k:C01157; k:C00475; k:C00116; k:C00041; k:C00047; k:C00299; k:C00208; k:C00123; k:C00089; k:C00032; k:C00031; k:C00037; k:C00062; k:C00188; k:C00183; k:C00181; k:C00212; k:C00135; k:C00137; k:C00134	139	139
5.50033762766e-21	4.68628765877e-19	tRNA charging	YeastCyc	C00037; C00078; C00123; C00082; C00407; C00073; C00135; C00062; C00065; C00064; C00041; C00079; C00047; C00188; C00148; C00183; C00097	k:C00037; k:C00047; k:C00123; k:C00073; k:C00062; k:C00064; k:C00078; k:C00135; k:C00079; k:C00065; k:C00183; k:C00041; k:C00097; k:C00188; k:C00407; k:C00148; k:C00082	23	23
9.26343016664e-21	6.57703541832e-19	phosphatidylcholine resynthesis via glycerophosphocholine	YeastCyc	C00122; C00123; C00021; C00022; C00062; C00065; C00064; C00149; C06428; C00073; C02679; C00036; C00037; C00078; C00079; C00033; C00019; C00135; C00077; C01571; C00148; C00082; C00246; C00249; C01595; C00407; C00183; C01530; C00042; C00041; C00047; C00188; C00186; C00097; C00712	k:C00123; k:C00033; k:C00022; k:C00019; k:C00077; k:C00079; k:C00186; k:C02679; k:C00249; k:C00047; k:C00037; k:C01530; k:C00073; k:C00062; k:C00021; k:C00042; k:C01595; k:C00065; k:C00135; k:C00183; k:C00041; k:C00712; k:C06428; k:C00064; k:C00122; k:C00149; k:C00082; k:C00078; k:C00246; k:C00097; k:C00036; k:C00188; k:C00407; k:C00148; k:C01571	192	153
1.47491938578e-20	8.97593797633e-19	sphingolipid recycling and degradation (yeast)	YeastCyc	C00122; C00123; C00021; C00022; C00062; C00065; C00064; C00149; C01571; C00073; C02679; C00036; C00037; C00078; C00079; C00033; C00019; C00135; C00077; C00712; C00148; C00082; C00246; C00249; C01595; C00407; C06428; C01530; C00042; C00041; C00047; C00188; C00186; C00097; C00183	k:C00123; k:C00033; k:C00022; k:C00019; k:C00077; k:C00079; k:C00186; k:C02679; k:C00249; k:C00047; k:C00037; k:C01530; k:C00073; k:C00062; k:C00021; k:C00042; k:C01595; k:C00065; k:C00135; k:C00183; k:C00041; k:C06428; k:C00064; k:C00122; k:C00149; k:C00082; k:C00078; k:C00246; k:C00712; k:C00097; k:C00036; k:C00188; k:C00407; k:C00148; k:C01571	195	155
1.83238950552e-20	9.75747411691e-19	glutathione degradation	YeastCyc	C00037; C00078; C00123; C00082; C00407; C00073; C00135; C00062; C00065; C00064; C00041; C00079; C00047; C00188; C00148; C00183; C00097	k:C00037; k:C00123; k:C00073; k:C00062; k:C00047; k:C00078; k:C00135; k:C00079; k:C00065; k:C00183; k:C00041; k:C00097; k:C00064; k:C00188; k:C00407; k:C00148; k:C00082	24	24
2.69348904165e-20	1.27491814638e-18	Metabolism of amino acids and derivatives	Reactome	C00024; C00122; C00149; C00021; C00022; C00006; C00062; C00003; C00064; C00123; C00780; C00315; C00487; C00212; C00097; C00036; C00037; C00078; C00079; C00032; C00016; C00072; C00019; C00134; C00077; C00148; C00750; C00407; C00042; C00041; C00047; C00183	k:C00072; k:C00047; k:C00123; k:C00022; k:C00019; k:C00077; k:C00315; k:C00079; k:C00003; k:C00134; k:C00097; k:C00037; k:C00149; k:C00780; k:C00021; k:C00042; k:C00016; k:C00122; k:C00183; k:C00487; k:C00212; k:C00750; k:C00006; k:C00041; k:C00064; k:C00032; k:C00062; k:C00078; k:C00148; k:C00024; k:C00036; k:C00407	149	127
4.50433980779e-20	1.74440796193e-18	NAD/NADP-NADH/NADPH mitochondrial interconversion (yeast)	YeastCyc	C00122; C00123; C00021; C00022; C00006; C00062; C00003; C00064; C00149; C01571; C00073; C02679; C00036; C00037; C00078; C00079; C00033; C00019; C00135; C00077; C00065; C00712; C00148; C00082; C00246; C00249; C01595; C00407; C06428; C01530; C00042; C00041; C00047; C00188; C00186; C00097; C00183; C00181	k:C00181; k:C00122; k:C00123; k:C00033; k:C00022; k:C00019; k:C00077; k:C00079; k:C00003; k:C00186; k:C02679; k:C00249; k:C00047; k:C00037; k:C01530; k:C00073; k:C00062; k:C00021; k:C00042; k:C01595; k:C00065; k:C00183; k:C00041; k:C06428; k:C00006; k:C00064; k:C00149; k:C00082; k:C00078; k:C00246; k:C00135; k:C00712; k:C00097; k:C00036; k:C00188; k:C00407; k:C00148; k:C01571	242	194
4.50433980779e-20	1.74440796193e-18	NAD/NADP-NADH/NADPH mitochondrial interconversion	YeastCyc	C00122; C00123; C00021; C00022; C00006; C00062; C00003; C00064; C00149; C01571; C00073; C02679; C00036; C00037; C00078; C00079; C00033; C00019; C00135; C00077; C00065; C00712; C00148; C00082; C00246; C00249; C01595; C00407; C06428; C01530; C00042; C00041; C00047; C00188; C00186; C00097; C00183; C00181	k:C00181; k:C00122; k:C00123; k:C00033; k:C00022; k:C00019; k:C00077; k:C00079; k:C00003; k:C00186; k:C02679; k:C00249; k:C00047; k:C00037; k:C01530; k:C00073; k:C00062; k:C00021; k:C00042; k:C01595; k:C00065; k:C00183; k:C00041; k:C06428; k:C00006; k:C00064; k:C00149; k:C00082; k:C00078; k:C00246; k:C00135; k:C00712; k:C00097; k:C00036; k:C00188; k:C00407; k:C00148; k:C01571	242	194
