Feature_ID,BIOCHEMICAL,Chemical_Class,Biological_Role,Concentration_Range,Distribution
Metabolite_1,Glutamine,Carbohydrate,Oxidative stress,Moderate: 1.0-100.0,Log-Normal
Metabolite_2,Glycine,Carbohydrate,Energy metabolism,Moderate: 1.0-100.0,Bimodal
Metabolite_3,Serine,Amino Acid,Energy metabolism,Low: 0.001-1.0,Normal
Metabolite_4,Alanine,Carbohydrate,Lipid metabolism,Moderate: 1.0-100.0,Normal
Metabolite_5,Valine,Amino Acid,Energy metabolism,"High: 100.0-10,000.0",Log-Normal
Metabolite_6,Leucine,Lipid,Amino acid metabolism,Moderate: 1.0-100.0,Bimodal
Metabolite_7,Isoleucine,Carbohydrate,Oxidative stress,Moderate: 1.0-100.0,Bimodal
Metabolite_8,Methionine,Lipid,Energy metabolism,"High: 100.0-10,000.0",Normal
Metabolite_9,Phenylalanine,Amino Acid,Energy metabolism,Moderate: 1.0-100.0,Normal
Metabolite_10,Tyrosine,Other Small Molecule,Lipid metabolism,Low: 0.001-1.0,Log-Normal
Metabolite_11,Tryptophan,Carbohydrate,Lipid metabolism,Low: 0.001-1.0,Log-Normal
Metabolite_12,Histidine,Amino Acid,Amino acid metabolism,Low: 0.001-1.0,Bimodal
Metabolite_13,Threonine,Other Small Molecule,Oxidative stress,"High: 100.0-10,000.0",Bimodal
Metabolite_14,Cysteine,Other Small Molecule,Lipid metabolism,Moderate: 1.0-100.0,Normal
Metabolite_15,Arginine,Lipid,Energy metabolism,Low: 0.001-1.0,Bimodal
Metabolite_16,Lysine,Amino Acid,Oxidative stress,"High: 100.0-10,000.0",Log-Normal
Metabolite_17,Proline,Other Small Molecule,Oxidative stress,Moderate: 1.0-100.0,Log-Normal
Metabolite_18,Ornithine,Carbohydrate,Energy metabolism,"High: 100.0-10,000.0",Normal
Metabolite_19,Hydroxyproline,Carbohydrate,Lipid metabolism,Low: 0.001-1.0,Log-Normal
Metabolite_20,Taurine,Lipid,Energy metabolism,Low: 0.001-1.0,Log-Normal
Metabolite_21,Phosphatidylcholine,Other Small Molecule,Oxidative stress,Low: 0.001-1.0,Log-Normal
Metabolite_22,Phosphatidylethanolamine,Amino Acid,Signaling,"High: 100.0-10,000.0",Log-Normal
Metabolite_23,Sphingomyelin,Carbohydrate,Signaling,"High: 100.0-10,000.0",Normal
Metabolite_24,Ceramide,Other Small Molecule,Amino acid metabolism,Low: 0.001-1.0,Normal
Metabolite_25,Dihydroceramide,Other Small Molecule,Energy metabolism,"High: 100.0-10,000.0",Bimodal
Metabolite_26,Lysophosphatidylcholine,Lipid,Energy metabolism,Low: 0.001-1.0,Log-Normal
Metabolite_27,Lysophosphatidylethanolamine,Carbohydrate,Amino acid metabolism,Low: 0.001-1.0,Bimodal
Metabolite_28,Triglyceride,Carbohydrate,Amino acid metabolism,Moderate: 1.0-100.0,Normal
Metabolite_29,Cholesterol,Amino Acid,Amino acid metabolism,"High: 100.0-10,000.0",Normal
Metabolite_30,Cholesteryl Ester,Carbohydrate,Oxidative stress,Low: 0.001-1.0,Normal
Metabolite_31,Oleic Acid,Amino Acid,Energy metabolism,Low: 0.001-1.0,Normal
Metabolite_32,Linoleic Acid,Carbohydrate,Oxidative stress,"High: 100.0-10,000.0",Normal
Metabolite_33,Arachidonic Acid,Lipid,Amino acid metabolism,Moderate: 1.0-100.0,Normal
Metabolite_34,Eicosapentaenoic Acid,Carbohydrate,Energy metabolism,Moderate: 1.0-100.0,Normal
Metabolite_35,Docosahexaenoic Acid,Amino Acid,Oxidative stress,Low: 0.001-1.0,Log-Normal
Metabolite_36,Stearic Acid,Amino Acid,Oxidative stress,"High: 100.0-10,000.0",Bimodal
Metabolite_37,Palmitic Acid,Lipid,Amino acid metabolism,Moderate: 1.0-100.0,Normal
Metabolite_38,Myristic Acid,Carbohydrate,Energy metabolism,"High: 100.0-10,000.0",Log-Normal
Metabolite_39,Lauric Acid,Carbohydrate,Amino acid metabolism,"High: 100.0-10,000.0",Log-Normal
Metabolite_40,Capric Acid,Lipid,Energy metabolism,Low: 0.001-1.0,Bimodal
Metabolite_41,Glucose,Carbohydrate,Signaling,Moderate: 1.0-100.0,Normal
Metabolite_42,Fructose,Carbohydrate,Lipid metabolism,Low: 0.001-1.0,Bimodal
Metabolite_43,Lactose,Amino Acid,Lipid metabolism,Moderate: 1.0-100.0,Normal
